,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_team_form,home_win_0_proba,home_win_1_proba
0,2020,29,herthabsc,augsburg,0,0,0,0.32,0.29,0.39,0.29,0.21,0.5,1.46,1.79,1.29,2.0,1.25,1.07,-0.07,0.29,0.25,0.46,0.21,0.21,0.57,1.43,1.93,1.07,2.21,1.11,0.86,-0.18,0.5582159746979886,0.44178402530201133
1,2020,29,schalke,bremen,0,0,0,0.32,0.36,0.32,0.36,0.43,0.21,1.21,1.61,1.29,1.5,1.32,1.5,0.0,0.18,0.25,0.54,0.29,0.29,0.43,1.04,2.11,1.43,2.07,0.79,1.14,-0.36,0.5381080267467943,0.46189197325320586
2,2020,29,paderborn,dortmund,0,0,0,0.14,0.25,0.61,0.14,0.14,0.71,1.11,1.96,1.29,2.29,0.68,0.57,-0.46,0.61,0.21,0.18,0.5,0.21,0.29,2.64,1.21,2.07,1.64,2.04,1.71,0.43,0.7557521146392095,0.2442478853607904
3,2020,29,bmuenchen,duesseldorf,0,0,0,0.71,0.14,0.14,0.71,0.14,0.14,2.89,1.0,3.07,0.93,2.29,2.29,0.57,0.21,0.32,0.46,0.14,0.36,0.5,1.11,1.89,1.14,2.07,0.96,0.79,-0.25,0.2545316673485329,0.7454683326514676
4,2020,29,wolfsburg,frankfurt,0,0,0,0.39,0.32,0.29,0.29,0.43,0.29,1.43,1.21,1.14,1.07,1.5,1.29,0.11,0.29,0.18,0.5,0.15,0.08,0.77,1.57,1.86,1.0,2.31,1.04,0.54,-0.21,0.5246454351986534,0.4753545648013467
5,2020,29,mainz,hoffenheim,0,0,0,0.29,0.14,0.57,0.29,0.14,0.57,1.32,2.18,1.07,1.86,1.0,1.0,-0.29,0.39,0.21,0.39,0.38,0.38,0.23,1.39,1.71,1.31,1.0,1.39,1.54,0.0,0.6014554741972493,0.3985445258027505
6,2020,29,freiburg,leverkusen,0,0,0,0.36,0.29,0.36,0.46,0.15,0.38,1.36,1.43,1.23,1.15,1.36,1.54,0.0,0.57,0.18,0.25,0.64,0.07,0.29,1.89,1.29,1.93,1.36,1.89,2.0,0.32,0.6923443505931298,0.3076556494068703
7,2020,29,fckoeln,rbleipzig,0,0,0,0.36,0.14,0.5,0.43,0.21,0.36,1.57,1.86,1.71,1.43,1.21,1.5,-0.14,0.54,0.36,0.11,0.57,0.29,0.14,2.5,1.04,2.5,0.93,1.96,2.0,0.43,0.7429194517551444,0.2570805482448555
8,2020,29,mgladbach,unionberlin,0,0,0,0.57,0.18,0.25,0.64,0.14,0.21,1.89,1.21,2.21,1.36,1.89,2.07,0.32,0.32,0.14,0.54,0.21,0.14,0.64,1.18,1.71,1.0,2.07,1.11,0.79,-0.21,0.3270462865594324,0.6729537134405674
