home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
bremen,schalke,0,0,1,0.33,0.27,0.39,0.5,0.25,0.25,1.42,1.67,1.81,1.25,1.27,1.75,0,0,2,-0.06,0.58,0.12,0.3,0.38,0.19,0.44,2.15,1.27,1.5,1.75,1.85,1.31,3,4,7,0.27
vfbstuttgart,wolfsburg,1,0,0,0.42,0.24,0.33,0.56,0.19,0.25,1.82,1.33,2.06,0.94,1.52,1.88,0,4,10,0.09,0.39,0.15,0.45,0.19,0.19,0.63,1.36,1.73,1,2.19,1.33,0.75,3,4,4,-0.06
hoffenheim,augsburg,0,1,0,0.4,0,0.6,0.5,0,0.5,2,2.4,1.5,2.5,1.2,1.5,3,6,6,-0.2,0,0.2,0.8,0,0,1,0.4,2,0.5,2.5,0.2,0,0,1,1,-0.8
frankfurt,freiburg,1,0,0,0.8,0.2,0,0.67,0.33,0,2.8,1.4,2.67,2,2.6,2.33,1,7,13,0.8,0.2,0.4,0.4,0,0.5,0.5,1.4,1.6,0,1,1,0.5,0,4,5,-0.2
leverkusen,fuerth,1,0,0,0.4,0.2,0.4,0.5,0.5,0,1.4,1.4,1.5,0.5,1.4,2,3,4,7,0,0.2,0.2,0.6,0.5,0.5,0,0.4,1.6,1,0.5,0.8,2,0,1,4,-0.4
wolfsburg,mainz,0,0,1,0.2,0.4,0.4,0,0.5,0.5,0.4,1.6,0.5,2.5,1,0.5,0,2,5,-0.2,0.2,0.2,0.6,0,0.33,0.67,0.8,1.6,0.67,2.33,0.8,0.33,0,3,4,-0.4
dortmund,mgladbach,1,0,0,0.4,0.4,0.2,1,0,0,2.2,1.6,2.5,0.5,1.6,3,1,4,8,0.2,0.2,0.6,0.2,0,1,0,1.4,1.4,0.5,0.5,1.2,1,1,2,6,0
nuernberg,vfbstuttgart,0,0,1,0.4,0.2,0.4,0,0.5,0.5,1.4,1.8,1,1.5,1.4,0.5,0,3,7,0,0,0.4,0.6,0,0.5,0.5,0.6,2.4,1.5,4,0.4,0.5,0,2,2,-0.6
augsburg,bremen,1,0,0,0,0.33,0.67,0,0.33,0.67,0.33,1.67,0.33,1.67,0.33,0.33,1,1,2,-0.67,0.33,0.17,0.5,0.33,0,0.67,1.5,1.67,1.67,2,1.17,1,0,4,7,-0.17
hannover,dortmund,0,1,0,0.5,0.17,0.33,0.67,0.33,0,2.33,1.5,3,1.67,1.67,2.33,0,3,9,0.17,0.5,0.33,0.17,0,0.67,0.33,2.67,1.33,2,2.33,1.83,0.67,3,4,8,0.33
mainz,duesseldorf,1,0,0,0.33,0.17,0.5,0.5,0,0.5,1,1.33,1,0.5,1.17,1.5,3,6,6,-0.17,0.33,0.67,0,0.67,0.33,0,1,0.33,1.33,0,1.67,2.33,1,5,7,0.33
mgladbach,frankfurt,1,0,0,0.17,0.5,0.33,0.33,0.33,0.33,1.17,2,2,2,1,1.33,0,2,3,-0.17,0.83,0.17,0,1,0,0,2.67,1.33,3,0.5,2.67,3,3,7,13,0.83
fuerth,hamburg,0,0,1,0.17,0.17,0.67,0,0,1,0.33,1.67,0,2.33,0.67,0,0,1,4,-0.5,0.33,0.17,0.5,0,0.33,0.67,1.33,1.67,1.33,2.33,1.17,0.33,3,7,7,-0.17
bmuenchen,hoffenheim,1,0,0,1,0,0,1,0,0,3.17,0.33,4,0.67,3,3,3,9,15,1,0.33,0.17,0.5,0.33,0,0.67,1.67,2,2.33,2.33,1.17,1,1,7,7,-0.17
vfbstuttgart,leverkusen,0,1,0,0.17,0.33,0.5,0,0.33,0.67,0.83,2,0,1.33,0.83,0.33,3,4,5,-0.33,0.5,0.17,0.33,0.33,0,0.67,1.5,1.17,1.33,2,1.67,1,3,7,10,0.17
freiburg,nuernberg,1,0,0,0.17,0.33,0.5,0.33,0.33,0.33,1.33,1.67,2.33,2,0.83,1.33,0,1,4,-0.33,0.33,0.17,0.5,0.67,0,0.33,1.17,1.83,1.67,2,1.17,2,0,0,4,-0.17
duesseldorf,bmuenchen,0,0,1,0.29,0.57,0.14,0,1,0,0.86,0.43,0.67,0.67,1.43,1,0,4,6,0.14,1,0,0,1,0,0,3,0.29,2.33,0,3,3,3,9,15,1
wolfsburg,freiburg,0,0,1,0.14,0.29,0.57,0,0.33,0.67,0.29,1.86,0.33,2.33,0.71,0.33,0,0,2,-0.43,0.29,0.29,0.43,0,0.33,0.67,1.57,1.43,0.33,1.33,1.14,0.33,3,3,7,-0.14
leverkusen,mainz,0,1,0,0.43,0.29,0.29,0.67,0.33,0,1.57,1.29,1.67,0.33,1.57,2.33,1,7,8,0.14,0.43,0.14,0.43,0.25,0.25,0.5,1,1.14,1,1.75,1.43,1,3,6,9,0
bremen,mgladbach,1,0,0,0.29,0.14,0.57,0.33,0.33,0.33,1.43,1.86,1.33,1.33,1,1.33,0,3,4,-0.29,0.29,0.43,0.29,0,0.67,0.33,1.29,1.71,0.33,2,1.29,0.67,3,4,5,0
dortmund,schalke,0,0,1,0.43,0.43,0.14,1,0,0,2.43,1.29,3.33,0.33,1.71,3,1,5,8,0.29,0.57,0.29,0.14,0.33,0.67,0,2.14,1,2,1.33,2,1.67,3,7,10,0.43
hamburg,vfbstuttgart,0,0,1,0.43,0.14,0.43,0.67,0,0.33,1.29,1.43,1.33,1,1.43,2,3,7,10,0,0.14,0.43,0.43,0.33,0.33,0.33,1,2,1.67,2.67,0.86,1.33,1,4,6,-0.29
fuerth,bremen,0,1,0,0.13,0.25,0.63,0,0,1,0.63,1.75,0,2,0.63,0,1,1,2,-0.5,0.38,0.13,0.5,0.25,0,0.75,1.75,1.63,1.5,2.25,1.25,0.75,3,3,7,-0.13
freiburg,dortmund,0,0,1,0.38,0.25,0.38,0.5,0.25,0.25,1.63,1.25,2.5,1.5,1.38,1.75,3,6,7,0,0.38,0.38,0.25,0,0.75,0.25,2.25,1.38,1.75,2,1.5,0.75,0,4,5,0.13
vfbstuttgart,frankfurt,1,0,0,0.25,0.38,0.38,0,0.5,0.5,1,1.75,0.5,1.5,1.13,0.5,3,7,8,-0.13,0.75,0.13,0.13,0.67,0,0.33,2.38,1.38,2,1,2.38,2,3,6,10,0.63
