,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,home_point_1_back,home_point_3_back,home_point_5_back,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,draw_0_proba,draw_1_proba
0,2020,34,wolfsburg,bmuenchen,0,0,0,0.39,0.3,0.3,0.25,0.44,0.31,1.45,1.27,1.19,1.19,1.48,0,4,7,1.19,0.09,0.76,0.12,0.12,0.75,0.13,0.13,2.91,0.97,2.69,1.06,2.39,2.38,3,9,15,0.64,0.6382503603083394,0.36174963969166063
1,2020,34,unionberlin,duesseldorf,0,0,0,0.33,0.15,0.52,0.44,0.19,0.38,1.15,1.76,1.31,1.25,1.15,3,7,8,1.5,-0.18,0.18,0.36,0.45,0.13,0.38,0.5,1.09,1.94,1.13,2.25,0.91,0.75,1,2,5,-0.27,0.6205672349296099,0.3794327650703901
2,2020,34,bremen,fckoeln,0,0,0,0.21,0.21,0.58,0.06,0.19,0.75,1.09,2.06,0.56,2.19,0.85,0,3,7,0.38,-0.36,0.3,0.18,0.52,0.25,0.13,0.63,1.52,1.91,1.38,2.25,1.09,0.88,0,1,1,-0.21,0.6408681551775094,0.3591318448224906
3,2020,34,mgladbach,herthabsc,0,0,0,0.58,0.15,0.27,0.69,0.13,0.19,1.94,1.18,2.38,1.25,1.88,3,3,7,2.19,0.3,0.33,0.24,0.42,0.31,0.31,0.38,1.42,1.73,1.5,1.56,1.24,1.25,0,0,4,-0.09,0.7132042219365844,0.28679577806341566
4,2020,34,dortmund,hoffenheim,0,0,0,0.64,0.18,0.18,0.69,0.19,0.13,2.55,1.12,2.88,0.81,2.09,0,6,9,2.25,0.45,0.42,0.21,0.36,0.44,0.38,0.19,1.48,1.61,1.44,1.0,1.48,1.69,3,4,10,0.06,0.787685562722439,0.21231443727756102
5,2020,34,leverkusen,mainz,0,0,0,0.55,0.18,0.27,0.5,0.25,0.25,1.82,1.33,1.94,1.38,1.82,3,4,7,1.75,0.27,0.33,0.12,0.55,0.38,0.13,0.5,1.33,1.94,1.63,2.19,1.12,1.25,3,6,7,-0.21,0.5655195291495322,0.4344804708504678
6,2020,34,frankfurt,paderborn,0,0,0,0.36,0.18,0.45,0.44,0.25,0.31,1.7,1.76,2.06,1.56,1.27,3,6,10,1.56,-0.09,0.12,0.24,0.64,0.13,0.38,0.5,1.06,2.15,0.88,1.56,0.61,0.75,0,1,2,-0.52,0.7686823423266975,0.23131765767330253
7,2020,34,augsburg,rbleipzig,0,0,0,0.27,0.27,0.45,0.31,0.31,0.38,1.33,1.85,1.69,1.69,1.09,0,4,5,1.25,-0.18,0.52,0.36,0.12,0.63,0.25,0.13,2.39,1.09,2.56,0.94,1.91,2.13,1,5,9,0.39,0.6865051731058718,0.3134948268941282
8,2020,34,freiburg,schalke,0,0,0,0.36,0.27,0.36,0.5,0.13,0.38,1.33,1.42,1.19,1.06,1.36,3,7,8,1.63,0.0,0.27,0.36,0.36,0.25,0.31,0.44,1.15,1.64,1.13,1.69,1.18,1.06,0,2,2,-0.09,0.6108724123121382,0.3891275876878618
