,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_team_form,away_win_0_proba,away_win_1_proba
0,2020,31,mainz,augsburg,0,0,0,0.3,0.13,0.57,0.27,0.13,0.6,1.3,2.07,1.0,1.8,1.03,0.93,-0.27,0.27,0.27,0.47,0.2,0.2,0.6,1.37,1.9,1.0,2.2,1.07,0.8,-0.2,0.7049522054185442,0.29504779458145586
1,2020,31,paderborn,bremen,0,0,0,0.13,0.27,0.6,0.13,0.13,0.73,1.1,2.07,1.27,2.53,0.67,0.53,-0.47,0.2,0.23,0.57,0.33,0.27,0.4,1.0,2.1,1.4,1.93,0.83,1.27,-0.37,0.7217774647554349,0.2782225352445651
2,2020,31,duesseldorf,dortmund,0,0,0,0.2,0.33,0.47,0.27,0.33,0.4,1.1,2.0,1.13,1.73,0.93,1.13,-0.27,0.63,0.2,0.17,0.53,0.2,0.27,2.7,1.17,2.33,1.6,2.1,1.8,0.47,0.40472447369887554,0.5952755263011245
3,2020,31,herthabsc,frankfurt,0,0,0,0.33,0.27,0.4,0.33,0.2,0.47,1.43,1.7,1.33,1.87,1.27,1.2,-0.07,0.33,0.17,0.5,0.27,0.07,0.67,1.63,1.83,1.2,2.07,1.17,0.87,-0.17,0.7247878294193533,0.2752121705806467
4,2020,31,wolfsburg,freiburg,0,0,0,0.4,0.3,0.3,0.27,0.4,0.33,1.4,1.2,1.13,1.13,1.5,1.2,0.1,0.37,0.27,0.37,0.27,0.4,0.33,1.3,1.37,1.47,1.67,1.37,1.2,0.0,0.7506875616713741,0.24931243832862593
5,2020,31,schalke,leverkusen,0,0,0,0.3,0.37,0.33,0.33,0.4,0.27,1.17,1.57,1.2,1.47,1.27,1.4,-0.03,0.57,0.17,0.27,0.67,0.07,0.27,1.87,1.33,1.87,1.27,1.87,2.07,0.3,0.602962258730946,0.397037741269054
6,2020,31,bmuenchen,mgladbach,0,0,0,0.73,0.13,0.13,0.73,0.13,0.13,3.0,1.0,3.2,0.87,2.33,2.33,0.6,0.57,0.17,0.27,0.47,0.2,0.33,1.9,1.2,1.47,1.07,1.87,1.6,0.3,0.8658539709699313,0.13414602903006864
7,2020,31,hoffenheim,rbleipzig,0,0,0,0.4,0.23,0.37,0.4,0.07,0.53,1.4,1.67,1.47,2.33,1.43,1.27,0.03,0.53,0.37,0.1,0.6,0.27,0.13,2.5,1.07,2.6,1.0,1.97,2.07,0.43,0.49035357969334303,0.509646420306657
8,2020,31,fckoeln,unionberlin,0,0,0,0.33,0.17,0.5,0.4,0.2,0.4,1.57,1.9,1.73,1.6,1.17,1.4,-0.17,0.3,0.17,0.53,0.2,0.13,0.67,1.17,1.77,1.0,2.2,1.07,0.73,-0.23,0.7839730894129966,0.21602691058700338
