,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_team_form,home_win_0_proba,home_win_1_proba
0,2020,30,leverkusen,bmuenchen,0,0,0,0.59,0.17,0.24,0.5,0.29,0.21,1.86,1.24,1.86,1.21,1.93,1.79,0.34,0.72,0.14,0.14,0.71,0.14,0.14,2.97,0.97,2.71,1.07,2.31,2.29,0.59,0.7223560050157468,0.27764399498425296
1,2020,30,augsburg,fckoeln,0,0,0,0.28,0.24,0.48,0.36,0.29,0.36,1.38,1.93,1.79,1.64,1.07,1.36,-0.21,0.34,0.14,0.52,0.29,0.07,0.64,1.59,1.93,1.43,2.29,1.17,0.93,-0.17,0.5426352785108656,0.4573647214891344
2,2020,30,dortmund,herthabsc,0,0,0,0.62,0.21,0.17,0.71,0.21,0.07,2.76,1.21,3.21,0.79,2.07,2.36,0.45,0.34,0.28,0.38,0.36,0.36,0.29,1.48,1.72,1.64,1.57,1.31,1.43,-0.03,0.2573895042512682,0.7426104957487317
3,2020,30,duesseldorf,hoffenheim,0,0,0,0.21,0.31,0.48,0.29,0.29,0.43,1.07,2.0,1.07,1.71,0.93,1.14,-0.28,0.41,0.21,0.38,0.43,0.36,0.21,1.38,1.66,1.29,0.93,1.45,1.64,0.03,0.6054213014947085,0.3945786985052916
4,2020,30,frankfurt,mainz,0,0,0,0.31,0.17,0.48,0.43,0.29,0.29,1.59,1.83,2.21,1.57,1.1,1.57,-0.17,0.28,0.14,0.59,0.29,0.14,0.57,1.28,2.14,1.57,2.5,0.97,1.0,-0.31,0.4918752860911166,0.5081247139088834
5,2020,30,freiburg,mgladbach,0,0,0,0.34,0.28,0.38,0.43,0.14,0.43,1.31,1.41,1.14,1.14,1.31,1.43,-0.03,0.59,0.17,0.24,0.5,0.21,0.29,1.97,1.21,1.57,1.07,1.93,1.71,0.34,0.7628192356023269,0.23718076439767308
6,2020,30,rbleipzig,paderborn,0,0,0,0.55,0.34,0.1,0.5,0.43,0.07,2.55,1.07,2.5,1.14,2.0,1.93,0.45,0.14,0.24,0.62,0.14,0.36,0.5,1.1,2.1,0.93,1.64,0.66,0.79,-0.48,0.2706663323201546,0.7293336676798452
7,2020,30,unionberlin,schalke,0,0,0,0.31,0.14,0.55,0.43,0.14,0.43,1.17,1.79,1.36,1.36,1.07,1.43,-0.24,0.31,0.34,0.34,0.29,0.29,0.43,1.17,1.59,1.14,1.71,1.28,1.14,-0.03,0.5602957554234953,0.43970424457650464
8,2020,30,bremen,wolfsburg,0,0,0,0.21,0.24,0.52,0.08,0.23,0.69,1.03,2.03,0.69,2.31,0.86,0.46,-0.31,0.38,0.31,0.31,0.5,0.21,0.29,1.41,1.24,1.71,1.36,1.45,1.71,0.07,0.6657566166872008,0.3342433833127993
