season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,home_win_0_proba,home_win_1_proba
2004,18,suwon_bluewings,fc_seoul,1,0,0,0.35,0.24,0.35,0.63,0,0.38,1.35,1.24,1.88,1.5,1.29,1.88,1,4,7,0,0.29,0.53,0.12,0.38,0.38,0.25,1,0.71,1.38,1.13,1.41,1.5,1,7,8,0.18,0.6127380559,0.3872619441
2004,18,incheon_united,jeju_united,1,0,0,0.18,0.24,0.47,0.29,0.29,0.43,0.65,1.29,0.71,1.14,0.76,1.14,0,4,7,-0.29,0.06,0.65,0.24,0.13,0.63,0.25,0.59,1,0.88,1.25,0.82,1,1,2,6,-0.18,0.5712210777,0.4287789223
2004,19,jeju_united,daejeon,1,0,0,0.06,0.61,0.28,0,0.75,0.25,0.61,1.11,0.38,0.88,0.78,0.75,0,1,3,-0.22,0.17,0.39,0.33,0.13,0.5,0.38,0.67,0.89,0.75,1.13,0.89,0.88,0,1,5,-0.17,0.5536116826,0.4463883174
2004,19,fc_seoul,incheon_united,1,0,0,0.28,0.5,0.17,0.25,0.75,0,0.94,0.72,0.75,0.38,1.33,1.5,0,4,8,0.11,0.22,0.22,0.44,0.13,0.25,0.63,0.78,1.28,0.75,1.75,0.89,0.63,3,4,7,-0.22,0.5135880092,0.4864119908
2004,19,ulsan_hyundai,jeonbuk_fc,1,0,0,0.39,0.33,0.17,0.25,0.5,0.25,0.78,0.56,0.63,0.75,1.5,1.25,3,6,10,0.22,0.39,0.44,0.11,0.38,0.5,0.13,1.17,0.56,1,0.38,1.61,1.63,3,7,9,0.28,0.6519785275,0.3480214725
2004,19,daegu_fc,pohang_steelers,1,0,0,0.22,0.22,0.44,0.5,0.13,0.38,1.28,1.33,2.25,1.5,0.89,1.63,0,3,4,-0.22,0.39,0.39,0.17,0.5,0.5,0,1,0.83,1.25,0.75,1.56,2,0,1,5,0.22,0.5994584157,0.4005415843
2004,19,jeonnam_dragons,sangju_sangmu,1,0,0,0.28,0.39,0.28,0.38,0.5,0.13,1.22,0.94,1.63,1,1.22,1.63,3,6,7,0,0.24,0.53,0.18,0,0.75,0.25,0.76,0.76,0.75,1.13,1.24,0.75,1,5,7,0.06,0.5135564283,0.4864435717
2004,20,daejeon,fc_seoul,1,0,0,0.16,0.37,0.37,0.25,0.38,0.38,0.63,0.89,0.75,0.88,0.84,1.13,0,1,4,-0.21,0.32,0.47,0.16,0.33,0.33,0.33,0.95,0.68,1.22,1.11,1.42,1.33,3,4,10,0.16,0.6697660538,0.3302339462
2004,20,suwon_bluewings,ulsan_hyundai,1,0,0,0.42,0.21,0.32,0.67,0,0.33,1.32,1.11,1.78,1.33,1.47,2,3,7,10,0.11,0.42,0.32,0.16,0.63,0.25,0.13,0.79,0.53,1.13,0.5,1.58,2.13,3,9,10,0.26,0.6667528033,0.3332471967
2004,21,busan_ipark,daejeon,1,0,0,0.15,0.6,0.2,0.11,0.78,0.11,0.65,0.8,0.56,0.56,1.05,1.11,1,1,3,-0.05,0.2,0.35,0.35,0.11,0.44,0.44,0.65,0.85,0.67,1.11,0.95,0.78,3,3,4,-0.15,0.5991267632,0.4008732368
