,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_team_form,draw_0_proba,draw_1_proba
0,2020,27,schalke,augsburg,0,0,0,0.35,0.38,0.27,0.38,0.46,0.15,1.27,1.54,1.38,1.38,1.42,1.62,0.08,0.27,0.23,0.5,0.15,0.23,0.62,1.42,2.08,0.92,2.38,1.04,0.69,-0.23,0.7651289258952401,0.23487107410475988
1,2020,27,freiburg,bremen,0,0,0,0.38,0.27,0.35,0.5,0.17,0.33,1.35,1.38,1.33,1.17,1.42,1.67,0.04,0.15,0.23,0.58,0.23,0.31,0.46,1.08,2.27,1.46,2.23,0.69,1.0,-0.42,0.701023090706866,0.298976909293134
2,2020,27,wolfsburg,dortmund,0,0,0,0.38,0.35,0.27,0.31,0.46,0.23,1.38,1.19,1.23,1.0,1.5,1.38,0.12,0.62,0.23,0.15,0.46,0.23,0.31,2.77,1.27,2.08,1.77,2.08,1.62,0.46,0.7391644297136065,0.2608355702863935
3,2020,27,fckoeln,duesseldorf,0,0,0,0.38,0.12,0.5,0.46,0.15,0.38,1.58,1.81,1.69,1.38,1.27,1.54,-0.12,0.19,0.31,0.5,0.15,0.31,0.54,1.04,1.92,1.08,2.08,0.88,0.77,-0.31,0.7663395196605358,0.23366048033946424
4,2020,27,bmuenchen,frankfurt,0,0,0,0.69,0.15,0.15,0.69,0.15,0.15,2.88,1.0,2.92,0.85,2.23,2.23,0.54,0.31,0.15,0.5,0.17,0.08,0.75,1.5,1.69,0.92,2.08,1.08,0.58,-0.19,0.7966052488718907,0.20339475112810937
5,2020,27,paderborn,hoffenheim,0,0,0,0.15,0.19,0.65,0.15,0.08,0.77,1.15,2.08,1.31,2.38,0.65,0.54,-0.5,0.38,0.19,0.42,0.42,0.33,0.25,1.35,1.77,1.33,1.0,1.35,1.58,-0.04,0.7894418260812336,0.21055817391876644
6,2020,27,mgladbach,leverkusen,0,0,0,0.62,0.15,0.23,0.69,0.15,0.15,2.0,1.19,2.31,1.23,2.0,2.23,0.38,0.58,0.19,0.23,0.62,0.08,0.31,1.88,1.19,1.85,1.38,1.92,1.92,0.35,0.7526885449437478,0.24731145505625218
7,2020,27,mainz,rbleipzig,0,0,0,0.31,0.12,0.58,0.31,0.15,0.54,1.38,2.12,1.15,1.62,1.04,1.08,-0.27,0.54,0.35,0.12,0.54,0.31,0.15,2.42,1.04,2.31,1.0,1.96,1.92,0.42,0.7370036128029114,0.2629963871970886
8,2020,27,herthabsc,unionberlin,0,0,0,0.31,0.27,0.42,0.23,0.23,0.54,1.35,1.85,1.08,2.15,1.19,0.92,-0.12,0.35,0.12,0.54,0.23,0.15,0.62,1.23,1.65,1.08,1.92,1.15,0.85,-0.19,0.7384431414749029,0.2615568585250971
