home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
sporting,boavistaporto,0,1,0,1.9224560332,-1.474474621,-1.015666662,0.5817029257,-0.39327128,-0.34687054,1.8945202414,-0.718228108,0.306540238,-1.358760136,1.7001518197,0.548384581,1.4238925356,2.014578857,1.5272046786,1.5707355419,0.9101077854,0.7678188424,-1.490778375,-0.385143097,3.0927804529,-1.86717686,1.6162116213,-0.703621311,1.1404331894,-0.305367388,1.1369659665,0.4397216528,1.0784813921,1.0906172269,1.153808243,1.234568133
aves,fcporto,0,0,1,-0.993705351,-0.728991902,1.5488448639,-0.262695354,-0.39327128,0.6499795951,0.1184317255,2.1464187062,0.6249859164,1.2283218991,-1.210240817,-0.404768281,-0.930634868,-0.398356151,-1.092270536,-1.312762895,2.3200581111,-1.464211703,-1.490778375,1.4345006927,-0.384547799,-1.035330647,2.9731471379,-1.364329167,2.3777668404,-0.661530189,2.1693089721,1.3850126272,1.0784813921,1.0906172269,1.7386557121,2.0375812907
madeira,ferreira,0,1,0,0.437864783,-1.474474621,0.4895901032,2.2704994855,-1.549429339,-1.343720676,-0.466377908,-0.936718119,0.9434315948,-1.358760136,0.150462234,2.1369726851,-0.930634868,-0.398356151,-0.219112131,-0.015188598,0.3879039611,-0.720201521,0.0203971729,-0.385143097,-0.384547799,0.628361781,0.8529353932,-0.48338536,-0.096900462,-0.661530189,0.2923216891,-0.505569322,-1.202803123,-0.131173657,-0.600734164,0.2021226447
vicente,leiria,1,0,0,-1.948085441,0.0164908162,2.050597119,-1.951491914,1.9190448373,0.6499795951,-1.65765679,1.05396865,-1.285688154,0.7971415599,-2.079578877,-1.675638765,-0.930634868,-1.20266782,-1.674376139,-2.120142457,-0.552062923,1.5118290243,-0.48332801,-1.294964991,1.9336710357,-0.203484433,-0.504000123,0.8625010125,-0.921789562,1.4754466188,-0.23323475,-0.820666313,1.0784813921,-0.131173657,0.2765370393,-0.055988727
boavistaporto,alverca,1,0,0,0.7029703634,1.2589620139,-1.573169168,1.5527609476,-1.549429339,-0.496398061,1.3313702241,-0.912441451,1.4688669642,-0.776666678,1.0386989477,1.342678633,-0.1457924,0.4059555186,0.6540462738,1.1958807452,-0.656503688,-0.141526935,0.8039696792,-1.294964991,0.3688733225,0.9195079559,-0.143564127,1.3519142388,-1.128011838,2.0096908208,-0.740021317,-1.246047252,1.0784813921,-0.538437285,-0.30831043,-0.772964761
beiramar,aves,1,0,0,-0.622557539,-0.14917201,0.768341356,-1.233753376,0.3582314579,1.1484046627,-0.466377908,0.9083086425,-0.919475624,1.0127317295,-0.699977173,-1.310263501,1.4238925356,2.014578857,0.9450990754,-0.736063207,-1.074266747,-0.802869319,1.7554505798,-1.294964991,-0.558414211,1.5849849269,-0.143564127,1.9636807715,-0.447478329,2.0096908208,-1.35942712,-1.498124845,-1.202803123,-1.760228169,-1.185581633,-1.489940795
ferreira,farense,0,1,0,0.2788014347,-0.14917201,-0.179412904,0.8772423237,-0.566694989,-0.496398061,0.7898798229,-0.499738097,1.2141104214,-0.065219119,0.2449555014,0.8184445587,-0.1457924,0.0037996839,-0.219112131,0.2154912768,0.2312428138,-0.141526935,-0.147511221,0.2062411349,-0.558414211,0.2124386741,0.3864888094,0.1283811732,-0.096900462,-0.358791808,0.198472325,0.0773601126,1.0784813921,-0.131173657,0.2765370393,0.1734436033
braga,fcporto,1,0,0,1.127139292,-0.14917201,-1.071416913,1.5527609476,-0.566694989,-1.343720676,1.1580932958,-0.087034742,0.9434315948,-0.776666678,1.1898881756,1.6127386107,-0.1457924,0.0037996839,0.0719406705,1.1958807452,2.3722784936,-1.546879501,-1.54674784,1.7529383558,-0.558414211,-1.160107579,2.6763174937,-1.511153135,1.9653222901,-0.96426857,2.2256185906,1.65284507,1.0784813921,1.0906172269,1.7386557121,2.0949393734
belenenses,guimaraes,1,0,0,0.7029703634,0.5134792953,-1.071416913,0.1595037858,1.3409658079,-1.343720676,0.0751124934,-0.912441451,-0.123361428,-0.776666678,0.8686110664,0.548384581,-0.930634868,0.8081113532,0.9450990754,0.9363658859,-0.656503688,-0.141526935,0.8039696792,-0.521616381,-0.558414211,0.9195079559,0.3864888094,1.7679154811,-0.096900462,0.8165454364,-0.740021317,-0.710382366,-1.202803123,-0.538437285,-0.600734164,-0.772964761
leiria,salgueiros,1,0,0,-0.622557539,1.2589620139,-0.179412904,0.1595037858,0.3582314579,-0.496398061,-0.639654836,0.9083086425,-0.123361428,-0.065219119,-0.378700064,0.2783246033,-0.930634868,-0.398356151,-0.510164933,-0.245868473,1.0667689327,-2.208221885,0.3562139613,0.2062411349,-1.543657216,0.9195079559,0.1956697524,0.5443824155,0.2536774061,1.4220221986,0.6677191457,-0.19047233,-1.202803123,-0.538437285,-0.30831043,0.4315549754
