,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,home_point_1_back,home_point_3_back,home_point_5_back,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,away_win_0_proba,away_win_1_proba
0,2020,32,braga,belenenses,0,0,0,0.55,0.16,0.29,0.6,0.2,0.2,1.87,1.19,1.93,1.2,1.81,3,6,7,2.0,0.26,0.26,0.23,0.52,0.27,0.2,0.53,0.81,1.65,0.87,1.73,1.0,1.0,0,1,2,-0.26,0.9999311733018973,6.882669810272483e-05
1,2020,32,portimonense,boavistaporto,0,0,0,0.16,0.39,0.45,0.2,0.47,0.33,0.81,1.35,0.93,1.13,0.87,0,6,8,1.07,-0.29,0.32,0.26,0.42,0.33,0.27,0.4,0.81,1.06,0.67,1.13,1.23,1.27,0,3,9,-0.1,0.21299680439922586,0.7870031956007741
2,2020,32,santaclara,cdaves,0,0,0,0.32,0.26,0.42,0.33,0.2,0.47,0.94,1.19,0.87,1.27,1.23,0,3,5,1.2,-0.1,0.16,0.06,0.77,0.07,0.07,0.87,0.77,1.9,0.8,2.47,0.55,0.27,0,0,1,-0.61,0.9980595688432533,0.0019404311567466886
3,2020,32,setubal,fcfamalicao,0,0,0,0.19,0.39,0.42,0.2,0.47,0.33,0.77,1.32,0.8,1.2,0.97,0,0,1,1.07,-0.23,0.42,0.32,0.26,0.4,0.33,0.27,1.48,1.45,1.33,1.4,1.58,1.53,3,4,8,0.16,0.094000925243101,0.905999074756899
4,2020,32,moreirense,ferreira,0,0,0,0.32,0.39,0.29,0.4,0.33,0.27,1.26,1.13,1.4,1.13,1.35,1,5,6,1.53,0.03,0.32,0.13,0.55,0.33,0.13,0.53,0.97,1.52,1.13,1.73,1.1,1.13,3,6,9,-0.23,0.9808050616652039,0.019194938334796078
5,2020,32,benfica,guimaraes,0,0,0,0.68,0.16,0.16,0.67,0.13,0.2,2.03,0.81,2.27,0.8,2.19,3,3,7,2.13,0.52,0.39,0.32,0.29,0.33,0.4,0.27,1.61,1.1,1.6,1.27,1.48,1.4,3,6,8,0.1,0.9943156078586993,0.005684392141300706
6,2020,32,madeira,rioave,0,0,0,0.29,0.32,0.39,0.33,0.4,0.27,1.0,1.23,1.4,1.2,1.19,3,6,9,1.4,-0.1,0.45,0.26,0.29,0.53,0.2,0.27,1.42,1.1,1.27,0.87,1.61,1.8,0,6,9,0.16,0.07497745462493399,0.925022545375066
7,2020,32,porto,sporting,0,0,0,0.77,0.13,0.1,0.87,0.07,0.07,2.1,0.61,2.4,0.4,2.45,3,9,13,2.67,0.68,0.58,0.16,0.26,0.4,0.33,0.27,1.55,0.97,1.53,1.13,1.9,1.53,1,7,13,0.32,0.9882181999234135,0.01178180007658648
8,2020,32,vicente,tondela,0,0,0,0.32,0.29,0.39,0.4,0.4,0.2,1.1,1.23,1.33,1.07,1.26,3,6,6,1.6,-0.06,0.23,0.29,0.48,0.33,0.27,0.4,0.81,1.29,0.93,1.2,0.97,1.27,0,1,4,-0.26,0.897967806772246,0.10203219322775406
