season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
1999,29,ave,guimaraes,0,0,1,-0.862644765,1.0362414834,0.2180892406,-1.099891326,1.7636213454,-0.225600988,-0.865384444,0.5040152382,-0.56853248,0.1471104979,-0.663142212,-0.757232076,-0.952906203,-0.082048941,-0.287280792,-0.580912102,-0.17726164,-0.113512683,0.2743630091,-0.726887373,-0.319541765,0.8753482579,0.5231175221,0.365961076,-0.77295751,0.4101182017,-0.235752964,-0.831186094,1.0483608465,-0.17578434,0.7580962002,-0.264991939
1999,29,coimbra,leiria,0,0,1,-1.214900904,-0.132679346,1.403574484,-1.099891326,0.1439322235,1.1989248533,-0.580409242,2.0514342682,-0.463053474,2.132811399,-1.30800895,-1.188318193,-0.952906203,-1.259356683,-1.690953257,-1.348549616,-0.026906334,0.2143389336,-0.110963998,-0.076896127,0.1416260938,0.0143071028,-0.498426499,-0.822484889,-0.049438455,-0.461671825,0.0178695152,-0.074536436,1.0483608465,-0.17578434,-0.658755845,0.0402975326
1999,30,alverca,ave,0,0,1,-0.711677849,0.6187697586,0.3258606264,-0.200225742,0.1439322235,0.1673716574,-0.498987756,0.4802087916,-0.35757447,0.4460332142,-0.609403317,-0.202978498,-0.952906203,0.7028228864,0.5549226867,-0.553496476,-0.929038171,0.9520050714,0.3844564399,-0.423558125,-0.319541765,0.5883345396,-1.00919851,0.5085745917,-1.054326031,0.654219409,-0.815461487,-0.498260244,-1.232343085,-1.372521229,-0.658755845,-0.73680294
1999,30,leiria,sporting,0,0,1,0.1438013472,0.117803689,-0.212996303,0.0860314894,0.1439322235,-0.225600988,-0.437921642,-0.924371559,-0.674011484,-0.920470632,0.1966801054,0.1357320227,1.3657396576,0.7028228864,-0.006546299,0.1867254132,0.6246333265,0.6241534545,-1.101804874,-0.076896127,1.3521917231,-0.887736012,1.1769056956,-0.727409212,1.096133381,0.1660169944,0.8149687347,0.2583894131,-0.472108441,-0.17578434,0.7580962002,0.9006587693
1999,31,ave,boavistapor,0,0,1,-0.762000154,0.8692527936,0.2719749335,-1.140785216,1.5322371851,0.0691284959,-0.906095187,0.3611765585,-0.674011484,0.1471104979,-0.609403317,-0.880399539,1.3657396576,-0.474484855,-0.006546299,-0.553496476,1.0255808099,0.5421905504,-1.487131882,0.3997641197,1.1792537761,-1.215751689,0.7887189676,-0.870022728,0.6137873447,-0.583722428,1.2316342358,0.7275122009,1.0483608465,1.020952549,0.474725791,1.3169625936
1999,31,chaves,fcporto,0,0,1,-1.063933988,0.5352754138,0.8108318623,-0.854527985,1.1851609447,0.0691284959,-0.091880325,1.6467246758,0.1246152658,1.2787464952,-1.039314476,-0.66485648,-0.952906203,-1.259356683,-1.410218763,-0.992146484,1.5267651641,-0.523327204,-1.321991736,0.7030933677,0.7757318996,-1.215751689,2.2188805971,-0.870022728,1.6789681748,-0.461671825,1.5396043887,0.9242411119,1.0483608465,1.020952549,1.6082074278,1.5112377116
1999,31,farense,guimaraes,0,0,1,-0.409744014,0.034309344,0.4336320121,-0.036650181,0.0282401433,0.0691284959,-0.356500155,0.9325312773,-0.56853248,0.1471104979,-0.430273668,-0.04901917,1.3657396576,0.7028228864,0.2741881938,-0.443833974,0.0232121014,-0.277438491,0.1642695784,-0.466890875,-0.377187748,0.7113404188,0.5844101634,0.1520408023,-0.732762007,0.2357601965,-0.036478159,-0.589058204,1.0483608465,1.8187771419,0.7580962002,-0.070716821
1999,33,coimbra,benfica,0,0,1,-1.265223211,0.117803689,1.2958030982,-1.181679106,0.2596243036,1.1989248533,-0.621119985,2.1704665013,-0.583600909,1.8765919278,-1.34383488,-1.265297857,-0.952906203,-0.866920768,-1.410218763,-1.375965241,0.8251070682,-0.359401395,-0.661431152,0.5730951186,-0.434833729,-0.190702696,1.5242306628,-0.846253809,0.8147648598,-0.792952034,0.833084626,0.4702513172,1.0483608465,-0.17578434,-0.658755845,0.7896444163
1999,33,farense,boavistapor,0,1,0,-0.359421709,-0.132679346,0.4875177051,-0.159331852,-0.087451937,0.265614819,-0.234367926,0.9087248307,-0.583600909,0.2752202335,-0.394447738,-0.218374431,1.3657396576,0.7028228864,0.5549226867,-0.443833974,1.1759361161,0.378264742,-1.542178597,0.5730951186,1.0063158291,-1.215751689,0.8295807285,-0.917560566,0.6941783508,-0.688337232,1.3403295838,0.8485761462,1.0483608465,1.8187771419,1.6082074278,1.4002233584
1999,33,beiramar,leiria,0,1,0,-0.963289376,1.2032301734,0.3258606264,-0.690952424,1.3586990649,-0.32384415,-0.560053871,0.765886151,-0.101411173,0.2752202335,-0.788532966,-0.403125623,-0.952906203,-0.474484855,-0.848749778,-0.690574603,0.0733305369,0.1323760294,-0.166010714,0.0097693724,0.2569180585,-0.190702696,-0.518857379,-0.774947051,-0.069536207,-0.583722428,0.0903330807,0.0919264884,1.0483608465,-0.17578434,0.7580962002,0.0958047092
1999,33,chaves,setubal,0,0,1,-1.114256293,0.3682867238,0.9724889409,-0.936315765,1.0116228245,0.265614819,-0.173301811,1.9562084818,-0.011000597,1.5990208342,-1.128879301,-0.788023941,-0.952906203,-1.651792596,-1.690953257,-1.129224612,0.0733305369,-0.113512683,-0.000870568,-0.510223624,0.2569180585,0.3013208213,-0.457564738,-0.014341633,-1.195010292,0.6193478079,0.0359854066,-0.467994258,1.0483608465,0.6220402526,0.474725791,0.0125439443
