,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_team_form,home_win_0_proba,home_win_1_proba
0,2020,25,cdaves,belenenses,0,0,0,0.17,0.04,0.79,0.25,0.0,0.75,0.96,1.96,0.92,1.58,0.54,0.75,-0.63,0.29,0.21,0.5,0.25,0.25,0.5,0.79,1.58,0.83,1.58,1.08,1.0,-0.21,0.5858447200175355,0.41415527998246426
1,2020,25,santaclara,braga,0,0,0,0.33,0.25,0.42,0.33,0.17,0.5,0.79,1.08,0.75,1.25,1.25,1.17,-0.08,0.58,0.17,0.25,0.58,0.08,0.33,1.71,1.08,1.58,0.92,1.92,1.83,0.33,0.6957561868171641,0.30424381318283583
2,2020,25,rioave,ferreira,0,0,0,0.42,0.33,0.25,0.33,0.42,0.25,1.33,0.96,1.33,1.0,1.58,1.42,0.17,0.25,0.17,0.58,0.18,0.18,0.64,0.75,1.42,0.73,1.82,0.92,0.73,-0.33,0.44545647365506086,0.5545435263449392
3,2020,25,boavistaporto,moreirense,0,0,0,0.29,0.33,0.38,0.25,0.33,0.42,0.79,0.96,0.92,1.08,1.21,1.08,-0.08,0.29,0.38,0.33,0.08,0.5,0.42,1.42,1.33,1.17,1.42,1.25,0.75,-0.04,0.6074395340533498,0.3925604659466502
4,2020,25,fcfamalicao,porto,0,0,0,0.42,0.29,0.29,0.5,0.25,0.25,1.58,1.67,1.92,1.75,1.54,1.75,0.13,0.79,0.13,0.08,0.75,0.17,0.08,2.08,0.67,2.0,0.83,2.5,2.42,0.71,0.8380483726622456,0.16195162733775445
5,2020,25,madeira,setubal,0,0,0,0.21,0.38,0.42,0.25,0.42,0.33,0.92,1.33,1.33,1.33,1.0,1.17,-0.21,0.25,0.42,0.33,0.25,0.33,0.42,0.71,1.13,0.83,1.33,1.17,1.08,-0.08,0.6019214980435723,0.3980785019564277
6,2020,25,guimaraes,sporting,0,0,0,0.42,0.29,0.29,0.5,0.17,0.33,1.67,1.04,1.67,0.83,1.54,1.67,0.13,0.54,0.13,0.33,0.42,0.25,0.33,1.54,1.08,1.5,1.17,1.75,1.5,0.21,0.4842829455194682,0.5157170544805318
7,2020,25,benfica,tondela,0,0,0,0.79,0.08,0.13,0.75,0.08,0.17,2.17,0.58,2.33,0.58,2.46,2.33,0.67,0.25,0.29,0.46,0.42,0.17,0.42,0.83,1.25,1.08,1.25,1.04,1.42,-0.21,0.13398976716855684,0.8660102328314433
8,2020,25,portimonense,vicente,0,0,0,0.08,0.42,0.5,0.09,0.55,0.36,0.67,1.42,0.73,1.09,0.67,0.82,-0.42,0.29,0.38,0.33,0.25,0.25,0.5,1.04,1.21,0.83,1.33,1.25,1.0,-0.04,0.6469031292849418,0.35309687071505813
