,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,home_point_1_back,home_point_3_back,home_point_5_back,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,home_win_0_proba,home_win_1_proba
0,2020,27,ferreira,belenenses,0,0,0,0.27,0.15,0.58,0.31,0.15,0.54,0.81,1.42,0.77,1.08,0.96,3,6,9,1.08,-0.31,0.31,0.23,0.46,0.31,0.23,0.46,0.85,1.5,0.92,1.46,1.15,1.15,3,5,11,-0.15,0.8292871284822256,0.17071287151777437
1,2020,27,rioave,benfica,0,0,0,0.42,0.31,0.27,0.31,0.38,0.31,1.35,1.0,1.38,1.15,1.58,0,2,6,1.31,0.15,0.73,0.15,0.12,0.77,0.15,0.08,2.08,0.62,2.0,0.69,2.35,2.46,1,3,6,0.62,0.6789523003189426,0.3210476996810574
2,2020,27,fcfamalicao,braga,0,0,0,0.46,0.27,0.27,0.54,0.23,0.23,1.65,1.62,1.92,1.69,1.65,3,7,8,1.85,0.19,0.54,0.15,0.31,0.54,0.08,0.38,1.65,1.15,1.62,1.08,1.77,1.69,0,6,12,0.23,0.8497889037345768,0.1502110962654232
3,2020,27,guimaraes,moreirense,0,0,0,0.38,0.35,0.27,0.46,0.23,0.31,1.65,1.08,1.69,0.92,1.5,1,7,10,1.62,0.12,0.31,0.35,0.35,0.15,0.46,0.38,1.35,1.27,1.15,1.31,1.27,0.92,3,7,11,-0.04,0.38030668249284394,0.6196933175071561
4,2020,27,santaclara,portimonense,0,0,0,0.35,0.27,0.38,0.38,0.15,0.46,0.92,1.15,0.92,1.31,1.31,3,4,7,1.31,-0.04,0.12,0.42,0.46,0.08,0.31,0.62,0.73,1.38,0.62,1.69,0.77,0.54,3,4,5,-0.35,0.6749950175568591,0.3250049824431409
5,2020,27,cdaves,porto,0,0,0,0.15,0.04,0.81,0.23,0.0,0.77,0.88,1.96,0.85,1.62,0.5,0,0,1,0.69,-0.65,0.77,0.12,0.12,0.69,0.15,0.15,2.0,0.69,1.92,0.92,2.42,2.23,0,4,10,0.65,0.8869127486353054,0.11308725136469458
6,2020,27,boavistaporto,setubal,0,0,0,0.31,0.31,0.38,0.23,0.31,0.46,0.77,0.92,0.85,1.08,1.23,0,1,1,1.0,-0.08,0.23,0.46,0.31,0.23,0.38,0.38,0.77,1.15,0.85,1.31,1.15,1.08,1,3,3,-0.08,0.3216032002708711,0.6783967997291289
7,2020,27,sporting,tondela,0,0,0,0.54,0.15,0.31,0.69,0.0,0.31,1.54,1.08,1.54,0.92,1.77,1,4,8,2.08,0.23,0.27,0.31,0.42,0.38,0.23,0.38,0.85,1.15,1.0,1.15,1.12,1.38,1,2,2,-0.15,0.3471364028335424,0.6528635971664576
