season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
1999,6,guimaraes,benfica,0,0,1,-0.887663119,-0.563329076,1.3258438617,0.1595037858,1.3409658079,-1.343720676,0.4000067341,0.9568619783,1.7395457908,-1.143169967,-1.077950243,0.548384581,-0.930634868,-0.398356151,-0.801217734,-1.168587973,2.2156173463,-2.208221885,-0.875114263,0.9795897454,-1.543657216,0.2124386741,1.6162116213,-1.951625038,-0.096900462,-1.551937192,1.8877608797,0.5972701485,1.0784813921,0.6833535989,1.4462319776,1.6647537532
1999,6,boavistapor,braga,1,0,0,0.1727592026,2.7499274511,-2.019171172,2.2704994855,-1.549429339,-1.343720676,-0.899570229,-2.44187153,0.1473173988,-2.221120815,0.8119151059,2.1369726851,-0.1457924,0.4059555186,0.6540462738,1.1382107765,0.1268020489,1.0984900343,-0.875114263,0.9795897454,-1.543657216,0.2124386741,-0.079957774,0.4954410929,0.9342109142,2.0096908208,0.3861710533,0.5972701485,-0.442374951,-0.945700913,0.2765370393,0.5175920995
1999,6,amadora,campomaioren,1,0,0,0.1727592026,-2.21995734,1.3258438617,2.2704994855,-1.549429339,-1.343720676,0.833199055,1.927928695,3.3317741829,-1.143169967,-0.322004103,2.1369726851,-0.930634868,-0.398356151,-0.219112131,-0.591888285,-0.9176056,1.0984900343,0.2442750319,0.9795897454,-1.543657216,0.2124386741,0.7681269234,1.9636807715,2.996433666,1.1192838175,-0.740021317,0.5972701485,-1.202803123,-1.352964541,-0.600734164,-0.629569554
1999,6,farense,chaves,1,0,0,-0.887663119,-0.563329076,1.3258438617,0.1595037858,-1.549429339,1.1484046627,-0.899570229,1.4423953366,-1.444910993,-0.065219119,-1.077950243,-0.245909471,-0.1457924,0.0037996839,-0.801217734,-1.168587973,1.1712096976,-0.554865925,-0.875114263,-1.294964991,1.3541163271,0.2124386741,0.7681269234,-0.972798586,-0.096900462,0.2288768142,1.1369659665,-0.978214809,1.0784813921,1.0906172269,0.8613845084,1.0911729263
1999,6,beiramar,coimbra,0,0,1,-0.887663119,-0.563329076,1.3258438617,0.1595037858,1.3409658079,-1.343720676,-0.899570229,0.9568619783,0.1473173988,-0.065219119,-1.077950243,0.548384581,-0.930634868,-1.20266782,-0.801217734,-1.168587973,-1.962013248,1.0984900343,1.3636643266,-1.294964991,-1.543657216,2.2920542087,-0.504000123,2.4530939978,-1.128011838,0.2288768142,-1.866213686,-1.765957288,-0.442374951,-0.945700913,-1.478005368,-1.776731208
1999,6,alverca,fcporto,0,0,1,-1.948085441,4.4065557147,-0.904166161,-1.951491914,4.2313609549,-1.343720676,-1.33276255,-0.985271455,-1.444910993,-1.143169967,-1.077950243,-1.040203523,-0.1457924,-0.800511985,-0.801217734,-0.591888285,2.2156173463,-2.208221885,-0.875114263,0.9795897454,-1.543657216,0.2124386741,1.6162116213,-1.951625038,-0.096900462,-0.661530189,1.8877608797,0.5972701485,1.0784813921,1.9051444829,1.4462319776,1.6647537532
1999,6,leiria,salgueiros,1,0,0,1.2331815242,-0.563329076,-0.904166161,2.2704994855,-1.549429339,-1.343720676,-0.466377908,-2.44187153,-0.648796797,-2.221120815,1.1898881756,2.1369726851,1.4238925356,0.8081113532,0.9450990754,1.1382107765,0.1268020489,2.751845994,-1.994503558,-1.294964991,4.2518898701,-1.86717686,1.6162116213,0.4954410929,0.9342109142,0.2288768142,0.7615685099,-0.19047233,-0.442374951,0.2760899709,0.5689607739,1.0911729263
1999,6,madeira,setubal,0,0,1,-1.948085441,1.0932991875,1.3258438617,-1.951491914,1.3409658079,1.1484046627,-0.899570229,0.9568619783,-0.648796797,1.0127317295,-1.833896382,-1.834497575,-0.930634868,-1.20266782,-1.383323337,-1.74528766,-1.962013248,2.751845994,0.2442750319,-1.294964991,1.3541163271,0.2124386741,-0.928042472,1.9636807715,-1.128011838,2.9000978241,-1.49081623,-0.978214809,-0.442374951,-0.945700913,-1.185581633,-1.203150381
1999,6,ave,sporting,0,0,1,-0.887663119,1.0932991875,0.2108388504,-1.951491914,1.3409658079,1.1484046627,-0.899570229,1.4423953366,-1.444910993,1.0127317295,-0.699977173,-1.834497575,-0.1457924,0.4059555186,-0.510164933,-0.591888285,1.1712096976,1.0984900343,-1.994503558,-1.294964991,4.2518898701,-1.86717686,2.0402539703,-0.972798586,0.9342109142,0.2288768142,1.5123634231,-0.19047233,1.0784813921,1.0906172269,1.153808243,1.6647537532
1999,7,benfica,alverca,0,1,0,2.452667194,-2.21995734,-1.071416913,2.2704994855,-1.549429339,-1.343720676,1.6995836969,-2.126274847,2.0102246175,-1.509673255,2.1348208499,2.1369726851,1.4238925356,0.8081113532,1.5272046786,1.9167553543,-1.962013248,3.3305205799,-0.147511221,-1.294964991,2.3393593317,-0.494630608,-1.203669999,0.740147706,-0.77743397,-0.661530189,-1.35942712,-0.710382366,-1.202803123,-0.945700913,-1.185581633,-1.002397092
