,season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,home_point_1_back,home_point_3_back,home_point_5_back,avg_total_home_points,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,away_win_0_proba,away_win_1_proba
0,2020,28,porto,boavistaporto,0,0,0,0.74,0.15,0.11,0.85,0.08,0.08,1.93,0.67,2.08,0.46,2.37,3,4,10,2.62,0.63,0.33,0.3,0.37,0.38,0.31,0.31,0.85,0.93,0.69,0.77,1.3,1.46,3,4,4,-0.04,0.8900825708190374,0.10991742918096263
1,2020,28,vicente,cdaves,0,0,0,0.26,0.33,0.41,0.31,0.46,0.23,1.0,1.3,1.23,1.23,1.11,0,1,4,1.38,-0.15,0.15,0.07,0.78,0.08,0.08,0.85,0.85,1.89,0.92,2.31,0.52,0.31,0,0,0,-0.63,0.8442439543226403,0.1557560456773597
2,2020,28,moreirense,fcfamalicao,0,0,0,0.3,0.37,0.33,0.46,0.23,0.31,1.33,1.26,1.54,1.23,1.26,0,6,10,1.62,-0.04,0.44,0.3,0.26,0.38,0.31,0.31,1.59,1.56,1.38,1.54,1.63,1.46,3,7,10,0.19,0.7198972825281373,0.2801027174718627
3,2020,28,tondela,ferreira,0,0,0,0.26,0.3,0.44,0.15,0.38,0.46,0.81,1.19,0.69,1.15,1.07,3,5,5,0.85,-0.19,0.3,0.15,0.56,0.23,0.15,0.62,0.85,1.41,0.85,1.77,1.04,0.85,0,3,9,-0.26,0.6488540315109279,0.35114596848907204
4,2020,28,braga,guimaraes,0,0,0,0.52,0.19,0.3,0.54,0.23,0.23,1.59,1.11,1.69,1.23,1.74,0,3,9,1.85,0.22,0.37,0.37,0.26,0.31,0.46,0.23,1.63,1.07,1.62,1.23,1.48,1.38,1,5,11,0.11,0.6841739582329204,0.3158260417670796
5,2020,28,portimonense,madeira,0,0,0,0.11,0.44,0.44,0.15,0.54,0.31,0.74,1.37,0.85,1.08,0.78,1,4,5,1.0,-0.33,0.22,0.37,0.41,0.15,0.31,0.54,0.93,1.3,0.46,1.31,1.04,0.77,0,1,1,-0.19,0.7252740530903301,0.2747259469096699
6,2020,28,setubal,rioave,0,0,0,0.22,0.44,0.33,0.23,0.54,0.23,0.78,1.22,0.69,1.0,1.11,1,3,4,1.23,-0.11,0.41,0.3,0.3,0.54,0.23,0.23,1.33,1.04,1.31,0.85,1.52,1.85,3,4,8,0.11,0.6039036609858857,0.39609633901411434
7,2020,28,benfica,santaclara,0,0,0,0.74,0.15,0.11,0.69,0.15,0.15,2.07,0.63,2.15,0.54,2.37,1,3,7,2.23,0.63,0.33,0.3,0.37,0.31,0.38,0.31,0.93,1.15,0.92,1.0,1.3,1.31,1,5,5,-0.04,0.9172361564323588,0.08276384356764127
8,2020,28,belenenses,sporting,0,0,0,0.3,0.22,0.48,0.31,0.23,0.46,0.85,1.52,0.77,1.54,1.11,1,5,9,1.15,-0.19,0.56,0.15,0.3,0.38,0.31,0.31,1.56,1.04,1.54,1.23,1.81,1.46,3,7,10,0.26,0.4297652722306644,0.5702347277693356
